timestamp,db_name,cpu_usage,active_sessions,lock_sessions,alertlog_count
2026-06-01 00:00:00,PROD_DB,73,279,12,24
2026-06-01 00:00:00,DEV_DB,20,90,4,6
2026-06-01 00:00:00,TEST_DB,30,114,2,7
2026-06-01 00:30:00,PROD_DB,70,203,7,12
2026-06-01 00:30:00,DEV_DB,31,82,1,7
2026-06-01 00:30:00,TEST_DB,16,69,5,1
2026-06-01 01:00:00,PROD_DB,55,260,11,35
2026-06-01 01:00:00,DEV_DB,31,78,2,9
2026-06-01 01:00:00,TEST_DB,32,99,7,14
2026-06-01 01:30:00,PROD_DB,37,150,6,30
2026-06-01 01:30:00,DEV_DB,18,68,1,3
2026-06-01 01:30:00,TEST_DB,29,99,5,1
2026-06-01 02:00:00,PROD_DB,43,189,4,11
2026-06-01 02:00:00,DEV_DB,29,89,3,7
2026-06-01 02:00:00,TEST_DB,19,74,5,0
2026-06-01 02:30:00,PROD_DB,70,149,7,13
2026-06-01 02:30:00,DEV_DB,11,35,1,3
2026-06-01 02:30:00,TEST_DB,26,102,1,9
2026-06-01 03:00:00,PROD_DB,68,289,3,23
2026-06-01 03:00:00,DEV_DB,25,44,3,8
2026-06-01 03:00:00,TEST_DB,34,79,4,12
2026-06-01 03:30:00,PROD_DB,52,210,4,33
2026-06-01 03:30:00,DEV_DB,35,89,3,8
2026-06-01 03:30:00,TEST_DB,33,54,4,0
2026-06-01 04:00:00,PROD_DB,59,170,8,33
2026-06-01 04:00:00,DEV_DB,10,37,2,2
2026-06-01 04:00:00,TEST_DB,21,47,2,2
2026-06-01 04:30:00,PROD_DB,67,222,4,19
2026-06-01 04:30:00,DEV_DB,16,70,3,6
2026-06-01 04:30:00,TEST_DB,13,111,3,1
2026-06-01 05:00:00,PROD_DB,67,147,6,32
2026-06-01 05:00:00,DEV_DB,39,66,2,7
2026-06-01 05:00:00,TEST_DB,26,74,0,2
2026-06-01 05:30:00,PROD_DB,71,274,13,12
2026-06-01 05:30:00,DEV_DB,10,34,1,6
2026-06-01 05:30:00,TEST_DB,18,66,0,14
2026-06-01 06:00:00,PROD_DB,49,189,9,37
2026-06-01 06:00:00,DEV_DB,22,80,0,3
2026-06-01 06:00:00,TEST_DB,33,43,5,4
2026-06-01 06:30:00,PROD_DB,57,242,10,38
2026-06-01 06:30:00,DEV_DB,13,42,2,2
2026-06-01 06:30:00,TEST_DB,26,67,1,9
2026-06-01 07:00:00,PROD_DB,40,127,11,21
2026-06-01 07:00:00,DEV_DB,21,59,2,9
2026-06-01 07:00:00,TEST_DB,27,101,0,0
2026-06-01 07:30:00,PROD_DB,61,289,8,29
2026-06-01 07:30:00,DEV_DB,22,32,2,8
2026-06-01 07:30:00,TEST_DB,34,76,0,2
2026-06-01 08:00:00,PROD_DB,58,158,5,33
2026-06-01 08:00:00,DEV_DB,18,81,0,0
2026-06-01 08:00:00,TEST_DB,30,91,3,13
2026-06-01 08:30:00,PROD_DB,73,229,2,26
2026-06-01 08:30:00,DEV_DB,14,85,0,0
2026-06-01 08:30:00,TEST_DB,6,41,3,5
2026-06-01 09:00:00,PROD_DB,57,228,2,39
2026-06-01 09:00:00,DEV_DB,11,82,3,9
2026-06-01 09:00:00,TEST_DB,10,71,6,3
2026-06-01 09:30:00,PROD_DB,45,283,10,26
2026-06-01 09:30:00,DEV_DB,15,53,4,3
2026-06-01 09:30:00,TEST_DB,6,109,5,10
2026-06-01 10:00:00,PROD_DB,50,196,8,37
2026-06-01 10:00:00,DEV_DB,36,99,4,2
2026-06-01 10:00:00,TEST_DB,24,98,3,2
2026-06-01 10:30:00,PROD_DB,60,294,14,28
2026-06-01 10:30:00,DEV_DB,29,81,0,0
2026-06-01 10:30:00,TEST_DB,12,78,1,7
2026-06-01 11:00:00,PROD_DB,35,110,11,34
2026-06-01 11:00:00,DEV_DB,34,79,1,2
2026-06-01 11:00:00,TEST_DB,11,55,1,8
2026-06-01 11:30:00,PROD_DB,36,228,13,21
2026-06-01 11:30:00,DEV_DB,14,66,2,6
2026-06-01 11:30:00,TEST_DB,13,58,7,2
2026-06-01 12:00:00,PROD_DB,54,251,5,33
2026-06-01 12:00:00,DEV_DB,10,53,3,0
2026-06-01 12:00:00,TEST_DB,12,75,5,7
2026-06-01 12:30:00,PROD_DB,54,211,13,34
2026-06-01 12:30:00,DEV_DB,12,54,4,1
2026-06-01 12:30:00,TEST_DB,18,105,5,2
2026-06-01 13:00:00,PROD_DB,50,288,8,13
2026-06-01 13:00:00,DEV_DB,10,97,0,4
2026-06-01 13:00:00,TEST_DB,20,59,7,7
2026-06-01 13:30:00,PROD_DB,41,294,0,10
2026-06-01 13:30:00,DEV_DB,25,88,2,5
2026-06-01 13:30:00,TEST_DB,27,61,5,13
2026-06-01 14:00:00,PROD_DB,72,208,2,31
2026-06-01 14:00:00,DEV_DB,17,56,2,1
2026-06-01 14:00:00,TEST_DB,25,69,0,11
2026-06-01 14:30:00,PROD_DB,67,296,11,38
2026-06-01 14:30:00,DEV_DB,25,48,3,2
2026-06-01 14:30:00,TEST_DB,21,56,3,11
2026-06-01 15:00:00,PROD_DB,64,145,4,15
2026-06-01 15:00:00,DEV_DB,12,66,4,0
2026-06-01 15:00:00,TEST_DB,18,92,6,2
2026-06-01 15:30:00,PROD_DB,67,215,14,38
2026-06-01 15:30:00,DEV_DB,30,61,0,2
2026-06-01 15:30:00,TEST_DB,22,64,1,14
2026-06-01 16:00:00,PROD_DB,37,203,13,33
2026-06-01 16:00:00,DEV_DB,27,61,1,9
2026-06-01 16:00:00,TEST_DB,6,56,7,0
2026-06-01 16:30:00,PROD_DB,43,142,5,25
2026-06-01 16:30:00,DEV_DB,16,71,1,2
2026-06-01 16:30:00,TEST_DB,22,64,7,12
2026-06-01 17:00:00,PROD_DB,41,156,3,22
2026-06-01 17:00:00,DEV_DB,29,94,3,2
2026-06-01 17:00:00,TEST_DB,27,54,3,1
2026-06-01 17:30:00,PROD_DB,36,131,6,31
2026-06-01 17:30:00,DEV_DB,28,54,1,5
2026-06-01 17:30:00,TEST_DB,30,97,5,0
2026-06-01 18:00:00,PROD_DB,40,114,5,20
2026-06-01 18:00:00,DEV_DB,37,37,4,4
2026-06-01 18:00:00,TEST_DB,11,107,5,12
2026-06-01 18:30:00,PROD_DB,66,215,13,24
2026-06-01 18:30:00,DEV_DB,12,84,3,1
2026-06-01 18:30:00,TEST_DB,32,69,2,0
2026-06-01 19:00:00,PROD_DB,53,191,9,32
2026-06-01 19:00:00,DEV_DB,35,91,0,4
2026-06-01 19:00:00,TEST_DB,5,97,1,0
2026-06-01 19:30:00,PROD_DB,68,195,13,31
2026-06-01 19:30:00,DEV_DB,25,30,4,6
2026-06-01 19:30:00,TEST_DB,9,61,4,6
2026-06-01 20:00:00,PROD_DB,37,175,9,25
2026-06-01 20:00:00,DEV_DB,28,86,4,4
2026-06-01 20:00:00,TEST_DB,19,101,3,4
2026-06-01 20:30:00,PROD_DB,46,243,9,35
2026-06-01 20:30:00,DEV_DB,25,68,3,0
2026-06-01 20:30:00,TEST_DB,34,62,1,9
