CODE|NAME|CAUSE|ACTION
00000|normal, successful completion|Operation completed successfully.|No action needed. This is a successful completion message.
00001|unique constraint violated|An attempt was made to insert or update a duplicate value in a column that has a unique constraint.|Check the constraint definition and ensure unique values are being inserted. Remove duplicates if necessary.
00016|Unable to set more than string sessions for developer's instance|The number of requested sessions exceeds the maximum allowed for developer instances.|Reduce the number of sessions or upgrade to a standard instance.
00017|session requested to set trace event|Session trace event has been set.|Check if tracing is needed. Disable trace if it's affecting performance.
00018|maximum number of sessions exceeded|The number of connected sessions exceeds the SESSIONS parameter.|Increase the SESSIONS parameter or reduce the number of concurrent sessions.
00019|maximum number of session licenses exceeded|The number of active sessions exceeds the licensed limit.|Purchase additional licenses or reduce concurrent sessions.
00020|exceeded maximum number of processes specified in initialization parameter|The number of processes exceeds the PROCESSES initialization parameter.|Increase the PROCESSES parameter value and restart the database.
00021|Cannot switch session because that session is being used by other users|Multiple users are trying to use the same session.|Create separate sessions for each user or wait for other users to release the session.
00022|invalid session ID; access denied|The specified session ID does not exist or access is denied.|Verify the session ID and ensure you have proper privileges to access the session.
00023|session references process private memory; cannot detach session|The session has references to process-private memory and cannot be detached.|Terminate the session and establish a new one.
00024|logins from more than one process not allowed in single-process mode|An attempt was made to log in from multiple processes in single-process mode.|Run the database in multi-process mode if multiple process logins are needed.
00025|SGA memory allocation request of string failed|The System Global Area (SGA) cannot allocate the requested memory.|Increase SGA size or reduce memory-consuming components.
00026|missing or invalid session ID|The session ID is missing or not valid.|Provide a valid session ID.
00027|cannot kill current session|An attempt was made to kill the current session.|Connect as a different session to kill the problematic session.
00028|session has been terminated|The session has been killed or terminated.|Reconnect to the database to establish a new session.
00029|session is not a user session|The operation is being attempted on a non-user session.|Perform the operation on a valid user session.
00030|User session ID does not exist|The specified user session ID does not exist.|Verify the session ID and try again.
00031|session marked for kill|The session has been marked for termination.|Wait for the session to complete current operations and terminate.
00032|invalid session migration password|The session migration password is invalid or incorrect.|Provide the correct session migration password.
00033|current session has empty migration password|The current session has no migration password set.|Set a migration password for the session if needed.
00034|cannot string in current PL/SQL session|The operation cannot be performed in the current PL/SQL session.|Complete the current PL/SQL operation or exit the session.
00035|LICENSE_MAX_USERS cannot be less than current number of users|The new LICENSE_MAX_USERS value is less than the current number of users.|Increase the LICENSE_MAX_USERS value or reduce the number of users.
00036|maximum number of recursive SQL levels exceeded|The recursive SQL depth exceeds the limit.|Reduce the recursion depth or increase the initialization parameter.
00037|cannot switch to a session belonging to a different server group|An attempt was made to switch to a session in a different server group.|Switch to a session in the current server group.
00038|Cannot create session: server group belongs to another user|The server group is owned by another user.|Use a server group that is available to your user account.
00039|error during periodic action|An error occurred while executing a periodic action.|Check the alert log for details and correct the underlying issue.
00040|active time limit exceeded - call aborted|The active time limit for the operation has been exceeded.|Optimize the operation or increase the time limit if allowed.
00041|active time limit exceeded - session terminated|The session exceeded its active time limit and was terminated.|Reconnect and optimize operations to complete within the time limit.
00042|Unknown Service name string|The specified service name is not registered in the listener.|Check the service name and ensure it is properly registered with the listener.
00043|remote operation failed|A remote operation encountered an error.|Check the remote database status and network connectivity.
00044|timed_statistics parameter must be TRUE when statistics_level parameter is not BASIC|The timed_statistics parameter is not set to TRUE when statistics_level is not BASIC.|Set timed_statistics=TRUE in the initialization parameters.
00045|Your session has been terminated with no replay|The session was terminated and cannot be replayed.|Reconnect to the database and resubmit your work.
00046|cannot modify sessions parameter|The SESSIONS parameter cannot be modified in the current configuration.|Restart the database after changing the SESSIONS parameter.
00047|cannot set sessions parameter to this value|The specified value for SESSIONS parameter is invalid.|Use a valid value for the SESSIONS parameter.
00049|maximum number of DB_FILES exceeded for the PDB|The number of data files exceeds the DB_FILES parameter.|Increase the DB_FILES parameter and restart the database.
00050|Operating system error occurred while obtaining an enqueue|The operating system returned an error while acquiring an enqueue.|Check operating system error messages and system resources.
00051|timeout occurred while waiting for a resource|A resource acquisition request timed out.|Reduce load on the system or increase the timeout value.
00052|maximum number of enqueue resources exceeded|The number of enqueue resources exceeds the configured limit.|Increase the enqueue resources parameter or reduce lock contention.
00053|maximum number of enqueues exceeded|The total number of enqueues has exceeded the limit.|Increase the enqueue limit or optimize lock usage in applications.
00054|resource busy and acquire with NOWAIT specified or timeout occurred|A resource is locked by another session.|Wait for the other session to release the lock or kill the blocking session.
00055|maximum number of DML locks exceeded|The number of DML locks exceeds the DML_LOCKS parameter.|Increase the DML_LOCKS parameter and restart the database.
00056|DDL lock on object is already held in an incompatible mode|Another session holds a DDL lock on the object in an incompatible mode.|Wait for the other session to release the lock or kill the blocking session.
00057|maximum number of temporary table locks exceeded|The number of temporary table locks exceeds the limit.|Reduce the number of temporary tables or optimize usage.
00058|DB_BLOCK_SIZE must be string to mount this database|The DB_BLOCK_SIZE parameter does not match the database block size.|Set DB_BLOCK_SIZE to the correct value and restart the database.
00059|maximum number of DB_FILES exceeded|The number of data files exceeds the DB_FILES parameter.|Increase the DB_FILES parameter and restart the database.
00060|deadlock detected while waiting for resource|A circular lock dependency was detected between sessions.|Identify and eliminate the circular lock dependency. Optimize transaction design.
00061|another instance has a different DML_LOCKS setting|DML_LOCKS parameter differs between database instances.|Set the same DML_LOCKS value on all instances.
00062|DML full-table lock cannot be acquired; DML_LOCKS is 0|DML_LOCKS is set to 0, preventing full-table locks.|Increase the DML_LOCKS parameter if full-table locks are needed.
00063|maximum number of log files exceeded string|The number of log files exceeds the configured maximum.|Archive log files or increase the maximum log file limit.
00064|object is too large to allocate on this O/S|The object size exceeds the operating system's allocation limit.|Reduce object size or upgrade the operating system.
01000|Maximum open cursors exceeded|The number of open cursors exceeds the OPEN_CURSORS parameter.|Close unused cursors or increase the OPEN_CURSORS parameter.
01012|Not logged on|No database connection has been established.|Establish a connection to the database.
01017|invalid username/password; logon denied|The username or password provided is incorrect.|Verify the username and password and try again.
01031|insufficient privileges|The user lacks the necessary privileges to perform the operation.|Grant the required privileges to the user or contact the DBA.
