CODE|NAME|CAUSE|ACTION
00000|normal, successful completion|Operation completed successfully.|No action needed.
00001|unique constraint violated|Attempt to insert duplicate value in unique constraint column.|Check constraint and ensure unique values.
00016|Unable to set more than string sessions for developer instance|Session count exceeds developer instance limit.|Reduce sessions or upgrade instance.
00017|session requested to set trace event|Trace event has been set.|Check if tracing is needed.
00018|maximum number of sessions exceeded|Session count exceeds SESSIONS parameter.|Increase SESSIONS parameter.
00019|maximum number of session licenses exceeded|Active sessions exceed licensed limit.|Purchase additional licenses or reduce sessions.
00020|exceeded maximum number of processes in initialization parameter|Process count exceeds PROCESSES parameter.|Increase PROCESSES parameter.
00021|Cannot switch session - in use by other users|Multiple users using same session.|Create separate sessions for each user.
00022|invalid session ID; access denied|Session ID invalid or access denied.|Verify session ID and privileges.
00023|session references process private memory; cannot detach|Session has process-private memory references.|Terminate session and establish new one.
00024|logins from more than one process not allowed in single-process mode|Multiple process logins in single-process mode.|Use multi-process mode.
00025|SGA memory allocation request failed|SGA cannot allocate requested memory.|Increase SGA_TARGET.
00026|missing or invalid session ID|Session ID missing or invalid.|Provide valid session ID.
00027|cannot kill current session|Attempt to kill current session.|Use different session to kill.
00028|session has been terminated|Session killed or terminated.|Reconnect to database.
00029|session is not a user session|Operation on non-user session.|Perform on valid user session.
00030|User session ID does not exist|Specified user session does not exist.|Verify session ID.
00031|session marked for kill|Session marked for termination.|Wait for session to terminate.
00032|invalid session migration password|Migration password invalid.|Provide correct migration password.
00033|current session has empty migration password|No migration password set.|Set migration password if needed.
00034|cannot string in current PL/SQL session|Operation cannot be performed in PL/SQL session.|Complete PL/SQL operation or exit.
00035|LICENSE_MAX_USERS less than current users|New LICENSE_MAX_USERS less than current users.|Increase LICENSE_MAX_USERS value.
00036|maximum number of recursive SQL levels exceeded|Recursive SQL depth exceeds limit.|Reduce recursion depth.
00037|cannot switch to session in different server group|Session in different server group.|Switch to session in current group.
00038|Cannot create session: server group belongs to another user|Server group owned by another user.|Use available server group.
00039|error during periodic action|Error during periodic action execution.|Check alert log and correct issue.
00040|active time limit exceeded - call aborted|Active time limit exceeded.|Optimize operation or increase time limit.
00041|active time limit exceeded - session terminated|Session exceeded active time limit.|Reconnect and optimize operations.
00042|Unknown Service name string|Service name not registered in listener.|Register service with listener.
